❯ ============================================================                                                             
Starting training for 350 iterations                                                                                       
============================================================                                                               
  iter   44/350 | misfit 2.001713e-09 | MSE(Vp) 8788.27  MSE(Vs) 1533.98  MSE(rho) 1891.60 | 24.4s                         
  iter   45/350 | misfit 2.001710e-09 | MSE(Vp) 8767.15  MSE(Vs) 1539.53  MSE(rho) 1892.85 | 24.5s                         
  iter   46/350 | misfit 2.001706e-09 | MSE(Vp) 8755.32  MSE(Vs) 1527.01  MSE(rho) 1891.91 | 25.1s                         
  iter   47/350 | misfit 2.001701e-09 | MSE(Vp) 8744.35  MSE(Vs) 1525.27  MSE(rho) 1889.76 | 24.3s                         
  iter   48/350 | misfit 2.001699e-09 | MSE(Vp) 8751.21  MSE(Vs) 1527.19  MSE(rho) 1890.49 | 24.5s                         
  iter   49/350 | misfit 2.001696e-09 | MSE(Vp) 8743.83  MSE(Vs) 1534.28  MSE(rho) 1890.69 | 24.2s                         
  iter   50/350 | misfit 2.001695e-09 | MSE(Vp) 8725.79  MSE(Vs) 1537.61  MSE(rho) 1887.91 | 24.5s                         
  [checkpoint saved: checkpoints/checkpoint_0050.pt]                                                                       
  iter   51/350 | misfit 2.001693e-09 | MSE(Vp) 8711.04  MSE(Vs) 1540.98  MSE(rho) 1884.33 | 24.4s                         
  iter   52/350 | misfit 2.001689e-09 | MSE(Vp) 8723.27  MSE(Vs) 1537.57  MSE(rho) 1886.29 | 24.7s                         
  iter   53/350 | misfit 2.001685e-09 | MSE(Vp) 8715.93  MSE(Vs) 1525.67  MSE(rho) 1891.25 | 23.4s                         
  iter   54/350 | misfit 2.001683e-09 | MSE(Vp) 8725.01  MSE(Vs) 1540.49  MSE(rho) 1891.50 | 23.6s                         
  iter   55/350 | misfit 2.001681e-09 | MSE(Vp) 8702.90  MSE(Vs) 1533.90  MSE(rho) 1886.88 | 24.4s                         
  iter   56/350 | misfit 2.001681e-09 | MSE(Vp) 8695.42  MSE(Vs) 1531.61  MSE(rho) 1889.48 | 24.5s                         
